Primer semestre: 2020-20				
DERE 1300, 11: Constitución y democracia	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Podcast: Relación entre la Constitución de 1991 y la noción de DDHH	4.50	90.00%	5.00%	0.15
Párrafo: Ejemplo de colaboración armónica	4.40	88.00%	5.00%	0.15
Infografía: Rama judicial Colombia	5.00	100.00%	10.00%	0.30
Podcast: Acceso sin barreras a la interrupción voluntaria del embarazo	4.70	94.00%	10.00%	0.30
Quiz 1 módulo de economía	4.50	90.00%	5.25%	0.16
Quiz 2 módulo de economía	5.00	100.00%	5.25%	0.16
Texto argumentativo módulo de economía	4.00	80.00%	4.50%	0.14
Texto: Igualdad y no discriminación	5.00	100.00%	10.00%	0.30
Texto: Recomendaciones de la OMS para el manejo de futuras pandemias	4.90	98.00%	15.00%	0.45
Infografía: Jurisdicción Especial para la Paz (JEP) y justicia transicional	4.80	96.00%	15.00%	0.45
Coevaluación	5.00	100.00%	15.00%	0.45
Bono ganado: 0.2 puntos en la nota final (Bono por votación democrática en el trabajo Video: Experiencia autonomía personal)	0.20		0.00%	0.00
Nota final	4.80	95.98%	100.00%	3.00
Nota final más bonos	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
				
FISI 1502, 01: Introducción a la física	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
 Tarea 1: Péndulo simple	4.97	99.40%	15.00%	0.45
Examen parcial 1	5.00	100.00%	25.00%	0.75
Tarea 2: Osciladores acoplados	5.00	100.00%	15.00%	0.45
Examen parcial 2: Expermiento osciladores acoplados	5.00	100.00%	25.00%	0.75
Tarea 3: El descubrimiento de la violación de paridad	5.00	100.00%	15.00%	0.45
Bono general del 5%	5.00	100.00%	5.00%	0.15
Nota final	5.00	99.91%	100.00%	3.00
Nota final con aproximación a la milésima	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	99.91%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	99.91%	100.00%	
				
				
ISIS 1221, 28: Introducción a la programación	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Tareas nivel 1	5.00	100.00%	1.00%	0.03
Proyecto nivel 1	4.60	92.00%	4.00%	0.12
Examen nivel 1	4.65	93.00%	5.00%	0.15
Tareas nivel 2	5.00	100.00%	3.00%	0.09
Proyecto nivel 2	5.00	100.00%	5.00%	0.15
Examen nivel 2	5.00	100.00%	17.00%	0.51
Tareas nivel 3	5.00	100.00%	4.00%	0.12
Examen nivel 3	5.00	100.00%	25.00%	0.75
Proyecto nivel 3	5.00	100.00%	6.00%	0.18
Tareas nivel 4	5.00	100.00%	2.00%	0.06
Proyecto nivel 4	4.93	98.50%	5.00%	0.15
Examen final	5.00	100.00%	23.00%	0.69
Nota final	4.96	99.26%	100.00%	3.00
Nota final con política de aproximación	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha (sin política de aproximación)	4.96	99.26%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha (sin política de aproximación)	4.96	99.26%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
				
LENG 1511, 6: Escritura universitaria I 	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Párrafo sobre la importancia de la escritura	4.40	88.00%	10.00%	0.20
Resumen de ¡Vamos al Centro Comercial! Consumo y visualidades del miedo en la Medellín contemporánea	4.65	93.00%	25.00%	0.50
Reseña de Supermercados made in: Conexiones, consumo y apropiaciones. Estados Unidos y Colombia (siglo XX)	4.95	99.00%	30.00%	0.60
Ejercicio de tildes	4.88	97.60%	7.50%	0.15
Quiz de citación	5.00	100.00%	7.50000%	0.15
Texto reflexivo	5.00	100.00%	20.00%	0.40
Nota final	4.83	96.57%	100.00%	2.00
Nota final con aproximación a la milésima	4.83	96.60%	100.00%	
Máxima nota final alcanzable a la fecha	4.83	96.57%	100.00%	
Mínima nota final alcanzable a la fecha	4.83	96.57%	100.00%	
				
				
LENG 1512, 36: Escritura universitaria II	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Quiz deductivo o inductivo	5.00	100.00%	5.00%	0.10
Diagrama de lectura de Guy Debord 2.0: hacia un análisis de la mercantilización de la subjetividad en las redes sociales	4.58	91.50%	10.00%	0.20
Planteamiento de tesis para el texto argumentativo	4.00	80.00%	10.00%	0.20
Autoevaluación debate presidencial	5.00	100.00%	5.00%	0.10
Quiz dialéctico y falacias	5.00	100.00%	5.00%	0.10
Diagrama de texto argumentativo	4.48	89.50%	10.00%	0.20
Texto argumentativo final	5.00	100.00%	30.00%	0.60
Evaluación profesor debate Orator	5.00	100.00%	5.00%	0.10
Coevaluación debate boxing	5.00	100.00%	5.00%	0.10
Texto reflexivo	5.00	100.00%	15.00%	0.30
Nota final	4.81	96.10%	100.00%	2.00
Nota final con aproximación a la milésima	4.81	96.20%	100.00%	
Máxima nota final alcanzable a la fecha	4.81	96.10%	100.00%	
Mínima nota final alcanzable a la fecha	4.81	96.10%	100.00%	
				
				
MATE 1203, 4: Cálculo diferencial	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Taller 1: Límites	4.60	92.00%	10.00%	0.30
Examen parcial 1: Límites	5.00	100.00%	20.00%	0.60
Examen parcial 2: Derivadas	5.00	100.00%	20.00%	0.60
Taller 2: Optimización	4.90	98.00%	10.00%	0.30
Examen parcial 3: Antiderivadas e integral definida	5.00	100.00%	20.00%	0.60
Examen final	4.00	80.00%	20.00%	0.60
Nota final	4.75	95.00%	100.00%	3.00
Nota final con aproximación a la milésima	4.75	95.00%	100.00%	
Máxima nota final alcanzable a la fecha	4.75	95.00%	100.00%	
Mínima nota final alcanzable a la fecha	4.75	95.00%	100.00%	