Primer semestre: 2020-20		
Laboratorio 4: Calor específico de sólidos.	4.55	0.91
Laboratorio 5: Gas ideal.	4.90	0.98
Laboratorio 6: Motor térmico.	4.70	0.94
Laboratorio 7: Equivalente mecánico del calor.	4.70	0.94
Laboratorio 8: Fuerzas y carga eléctrica.	4.25	0.85
Laboratorio 9: Ley de Ohm.	4.40	0.88
Laboratorio 10: Equivalente eléctrico del calor	4.00	0.80
Laboratorio 11: Analizando circuitos RC.	4.70	0.94
Laboratorio 12: Fuerza magnética.	5.00	1.00
Laboratorio 13: Inducción electromagnética.	4.80	0.96
	
		
FISI 2526, 01: Métodos Computacionales 1
3
Manuel Alejandro Segura Delgado
Complementaria FISI 2526, 01: Métodos Computacionales 1	5	0.25
Semana 2: Animación en Python	5.00	1.00
Semana 3: Derivación - Campo eléctrico	4.00	0.80
Semana 4: Interpolación por Newton-Gregory para puntos no equiespaciados	5.00	0.75/12
Semana 5: Cuadratura gaussiana y de Gauss-Laguerre	5.00	0.75/12
Bono Semana 5: Cuadratura Gauss-Hermite	+ 0.25 en Semana 3	
Semana 6: Sistemas de ecuaciones lineales, colisión de dos discos rígidos	5.00	0.75/12
Semana 8: Sobrerelajación MonteCarlo	5.00	0.75/12
Semana 7: Mínimos cuadrados y sistemas de ecuaciones no lineales	5.00	0.75/12
Semana 10: Introducción a probabilidad	5.00	0.75/12
Semana 11: Conteo	5.00	0.75/12
Semana 12: Covarianza	5.00	0.75/12
Bono Semana 12: Hipótesis (producto de Kronecker y p-values)	+ 0.25 en Semana 3	
Semana 3: Derivación - Campo eléctrico [con bono]	4.50	0.90
Semana 13: Bondad del ajuste	4.95	0.99
Bono Semana 15: Bondad del ajuste para pseudo-generadores	No se realizó	
Semana 15: Metrópolis Hastings - Molécula de Hidrógeno [examen final]	¡Eximido!	
Exención Examen final: Hidden Markov models	5.00	0.75/12
		
		
ISIS 1225, 02: Estructuras de Datos y Algoritmos
3
Darío Correal Torres
Reto 1	4.58	0.00
Examen parcial 1: Complejidades y estructuras de datos lineales	4.50	0.90
Reto 2	4.92	0.00
Examen parcial 2: Tablas de símbolos	4.75	0.95
Reto 3	5.00	0.00
Examen parcial 3: Grafos	4.00	0.80
Reto 4	4.93	0.00
		
Retos ISIS 1225, 02: Estructuras de Datos y Algoritmos
Laboratorio 1: Ambiente de desarrollo	5.00	1.00
Laboratorio 2: Versiones y conflictos de código	5.00	1.00
Laboratorio 3: Introducción a TAD lista	4.49	0.90
Laboratorio 4: Ordenamientos iterativos y recursivos y avances Reto 1	3.30	0.66
Reto 1 grupal	4.57	0.91
Reto 1 individual	4.80	0.96
Bono reto 1	No se realizó.	
Total reto 1 con posible excedente	#DIV/0!	0.00
Total reto 1	#DIV/0!	0.00
Laboratorio 5: TAD Map y avances reto 2	5.00	1.00
Laboratorio 6: Linear probing vs separate-chaining y toma de datos reto 2	5.00	1.00
Reto 2 grupal	4.86	0.97
Reto 2 individual	5.00	1.00
Bono reto 2	No se realizó.	
Total reto 2 con posible excedente	#DIV/0!	0.00
Total reto 2	#DIV/0!	0.00
Laboratorio 7: Tablas de símbolos ordenadas	4.70	0.94
Laboratorio 8: Tablas de símbolos ordenadas y balanceadas	5.00	1.00
Reto 3 grupal	4.75	0.95
Reto 3 individual	4.75	0.95
Bono reto 3	5.00	1.00
Total reto 3 con posible excedente	#DIV/0!	0.00
Total reto 3	#DIV/0!	0.00
Laboratorio 9: 	4.40	0.88
Avance 1 reto 4	4.54	0.91
Avance 2 reto 4	4.54	0.91
Reto 4	4.54	0.91
Bonos reto 4	No se realizaron.	
Total reto 4 con posible excedente	#DIV/0!	0.00
Total reto 4	Falta	0.00
		
		
LENG 1301, 08: Alemán 1
Quiz 1	5.00	1.00
Quiz 2	4.00	0.80
Quiz 2 con bono	5.00	1.00
Quiz 3	5.00	1.00
Quiz 4	5.00	1.00
Quiz 5	5.00	1.00
Moodle 1 (Kapitel 1 und 2 - Obligatorisch)	5.00	1.00
Moodle 2 (Kapitel 3, 4, und 5 - Obligatorisch) con bono	5.00	1.00
Moodle 3  (Kapitel 6, 7, und 8 - Obligatorisch)	5.00	1.00
Miniprojekt 1	4.00	0.80
Miniprojekt 2	5.00	1.00
Miniprojekt 3	5.00	1.00
Cartilla 1	5.00	1.00
Cartilla 2	5.00	1.00
Cartilla final	5.00	1.00
Participación y asistencia 1	5.00	1.00
Participación y asistencia 2	5.00	1.00
Übungsbuch (Bono nota tests)	No se realizó.	
Moodle (V) (Bono nota moodle)	Bono moodle y quizzes	
Oraciones de las camisetas o los fondos (Bono nota cartilla)	No se realizó.	
Quizlet (Bono nota participación)	No se realizó.	
Examen parcial 1	4.80	0.96
Examen parcial 2	4.90	0.98
Examen parcial 3	4.70	0.94
		
		
MATE 1102, 01: Matemática Estructural
Tarea 1: Lógica, conjuntos y demostraciones	4.89	0.98
Examen parcial 1: Conjuntos e inducción	5.00	1.00
Tarea 2: Conjuntos, inducción e inducción fuerte	5.00	1.00
Tarea 3: Algoritmos de división y de Euclides, primos y máximo común divisor	5.00	1.00
Examen parcial 2: Aritmética modular, congruencias, primos y primos relativos	5.00	1.00
Tarea 4: Teorema chino residuos, pequeño teorema Fermat, relaciones y funciones	4.69	0.94
Examen parcial 3: Aritmética modular, funciones, relaciones de equivalencia, órdenes	5.00	1.00
Tarea 5: cardinalidades infinitas, conteo	4.69	0.94
Examen final	5.00	1.00
		
		
MATE 1207, 19: Cálculo Vectorial
Complementaria MATE 1207, 19: Cálculo Vectorial	#DIV/0!	0.00
Parcial 1: Límites, derivación y optimización 	3.61	0.72
Parcial 2:		0.00
Final		0.00
Materia retirada
		
Complementaria MATE 1207, 19: Cálculo Vectorial
Quiz 1: Intersección de planos	5.00	1.00
Quiz 2: Curvas de nivel, secciones y gráficas de superficies  f: ℝ² → ℝ.	5.00	1.00
Quiz 3: Límites de funciones dom f = ℝ²	5.00	1.00
Quiz 4: Derivación de funciones vectoriales	5.00	1.00
Quiz 5: Gradientes, planos tangentes y derivada direccional	5.00	1.00
Quiz 6: Extremos y optimización de funciones escalares de múltiples variables	5.00	1.00
Quizzes 7 - 14		0.00
Materia retirada
		
		
Cuarto semestre: 2022-10		
		

CBPC-1174, 01: Química, Leyes y Conceptos (Ciclo 1 de 8 semanas)
2
Edgar Vargas Escamilla
Entrega 1: ¿Qué materia prima usaron los dioses para crear las cosas que hay en el mundo?	5.00	0.05
Entrega 2: ¿Cuál es la diferencia entre un alquimista y un químico?	5.00	0.06
Evaluación Parcial 1	4.58	0.12
Entrega 3: ¿Existe un elemento con el cual se pueden construir todas las cosas existentes?	5.00	0.07
Evaluación Parcial 2	5.00	0.12
Entrega 4: Repensando: ¿Cuál es la diferencia entre un alquimista y un químico?	5.00	0.08
Entrega 5: ¿Qué se necesitó para que la Química se convirtiera en ciencia?	5.00	0.08
Evaluación Parcial 3	4.58	0.12
Actividad 1, quiz: Videos semana 1	5.00	0.03
Actividad 2, quiz: Videos semana 2	4.00	0.03
Actividad 3: Control de lectura	5.00	0.03
Actividad 4, quiz: Video alquimia	5.00	0.03
Actividad 5, quiz: Videos oxígeno y pila voltaica	4.00	0.03
Actividad 6, 8 pares de isómeros de glucosa 	5.00	0.03
Actividad 7, 3 volumenes de hidrógeno y uno de nitrgógeno dan 2 de amoniaco 	5.00	0.03
Evaluación corta 1: El bronce es aleación de cobre y estaño	5.00	0.02
Evaluación corta 2: Valor de pi para egipcios y Washington Irving	5.00	0.02
Evaluación corta 3: Gas pingüe y significado de "flogisto"	5.00	0.02
Evaluación corta 4: Aire desflogisticado (oxígeno) 	5.00	0.02
Evaluación corta 5: Estados de oxidación y Ley de Avogadro	5.00	0.02
EXTRA	Bonos por realización de quizzes	0.70
		
		
CBPC-1176, 01: Introducción al Pensamiento Computacional (Ciclo 1 de 8 semanas)
2
Pablo Alejandro Figueroa Forero
Bono 0.3: Video corto de presentación personal	Realizado	0.00
Bono 0.3: Verdadero o falso sobre presentación personal	Realizado	0.00
Escrito inicial	4.80	0.15
CL1: Hansel y Gretel	4.00	0.01
Bono 0.3: Describir en formulario un algoritmo que utilice en su vida diaria	Realizado	0.00
CL2: Estructuras de Datos	4.00	0.01
Bono: Usos de las Estructuras de Datos	Realizado	0.00
CL3: Ordenamiento	5.00	0.01
Bono: Ordenamientos en la vida cotidiana	Realizado	0.00
CL4: Estructuras de Control	5.00	0.01
CL5: Recursión	5.00	0.01
Bono IPC: Usos de la Recursión	Realizado	0.00
CL6: Abstracción	4.00	0.01
Bono IPC: Abstracción en vida cotidiana	Realizado	0.00
CL7: Lenguajes	5.00	0.01
Bono IPC: Lenguajes cotidianos similares a lenguajes de programación	Realizado	0.00
CLE1: Algorithmic Inequity	5.00	0.01
CLE2: Pensamiento Deductivo (P)	5.00	0.01
CLE3: Pensamiento Inductivo (P)	5.00	0.01
CLE4: Seguridad en automóviles y máquinas	5.00	0.01
CLE5: The Recursive Universe	5.00	0.01
CLE6: Meritocracia	5.00	0.01
CLE7: Select One	5.00	0.01
Ejercicio individual 1	5.00	0.01
Ejercicio individual 2	5.00	0.01
Ejercicio individual 3	5.00	0.01
Ejercicio individual 4	5.00	0.01
Ejercicio individual 5	5.00	0.01
Ejercicio individual 6	5.00	0.01
Ejercicio individual 7	5.00	0.01
Trabajo de aplicación 1	5.00	0.02
Trabajo de aplicación 2	5.00	0.02
Trabajo de aplicación 3	5.00	0.02
Trabajo de aplicación 4	5.00	0.02
Trabajo de aplicación 5	5.00	0.02
Trabajo de aplicación 6	5.00	0.02
Trabajo de aplicación 7	5.00	0.02
Ejercicio grupal 1	5.00	0.01
Ejercicio grupal 2	4.50	0.01
Ejercicio grupal 3	5.00	0.01
Ejercicio grupal 4	5.00	0.01
Ejercicio grupal 5	5.00	0.01
Ejercicio grupal 6	5.00	0.01
Ejercicio grupal 7	5.00	0.01
Ética individual 1	5.00	0.01
Ética individual 2	5.00	0.01
Ética individual 3	5.00	0.01
Ética individual 4	5.00	0.01
Ética individual 5	5.00	0.01
Ética individual 6	5.00	0.01
Ética individual 7	5.00	0.01
Ética grupal 1	5.00	0.01
Ética grupal 2	5.00	0.01
Ética grupal 3	5.00	0.01
Ética grupal 4	5.00	0.01
Ética grupal 5	5.00	0.01
Ética grupal 6	5.00	0.01
Ética grupal 7	5.00	0.01
Video del Ensayo Final	1.00	0.00
Ensayo final	5.00	0.25
EXTRA	Conteo de bonos 7/7	1.00
		
		
ISIS 1226, 03: Diseño y Programación Orientada a Objetos
3
Mario Sánchez Puccini
Taller 0: Introducción a Java	5.00	0.01
Taller 1: Programación Orientada a Objetos en Java	3.50	0.02
Taller 2: Análisis	3.90	0.02
Proyecto 1, entrega 1 de 3: Análisis	4.25	0.04
Taller 3: Roles, responsabilidades y colaboraciones 	No se hizo	0.00
Proyecto 1, entrega 2 de 3: Diseño	4.65	0.04
Examen parcial 1	4.80	0.24
Proyecto 1, entrega 3 de 3: Diseño final e implementación	4.70	0.04
Proyecto 2, entrega 1 de 2: Boceto	5.00	0.02
Taller 4: GUIs. Triqui! Mi primer videojuego.	5.00	0.01
Proyecto 2, entrega 2 de 2: Diseño e implementación	5.00	0.10
Taller 5: Patrones	5.00	0.02
Taller 6: Errores y Excepciones	4.75	0.04
Proyecto 3, entrega 1 de 2: Diseño	4.80	0.06
Taller 7: Implementación de Pruebas unitarias	No se hizo	0.00
Examen parcial 2	4.90	0.24
Proyecto 3, entrega 2 de 2: Implementación	5.00	0.10
ROUND	al .5
		
		
ISIS 1304, 03: Infraestructura Tecnológica
3
Rafael Gómez Díaz
Parcial 1	5.00	0.33
Parcial 2	4.93	0.33
Preevaluación 1	5.00	0.
Preevaluación 2	5.00	0.
Preevaluación 3: Traducción a Assembler: Control	4.33	0.
Trabajo práctico 1	4.70	0.05
Trabajo práctico 2	4.85	0.05
Trabajo práctico 3	5.00	0.05
Trabajo práctico 4	5.00	0.05
Trabajo práctico 5	5.00	0.10
Puntos	11.00	0.
Participación en clase 1 (32 puntos)	5.00	0.03
EXTRA	Bono participación en clase primer corte	0.125	
Participación en clase 2	5.00	0.03
EXTRA	Bono participación en clase segundo corte	0.125
		
		
ISIS 1404, 08: TI en las Organizaciones (Tipo E)
3
Disney Rubiano Salamanca
Examen Parcial 1 	4.1	0.10
Examen Parcial 2	4.89	0.14
Examen Parcial 3	4.40	0.10
Ejercicio 1: Fuerzas de Porter	5.00	0.02/6
Ejercicio BMM	5.00	0.02/6
Ejercicio Canvas	5.00	0.02/6
Ejercicio Cadena de Valor Uniandes	5.00	0.02/6
Taller de oralidad	5.	0.02/6
Quiz de asistencia	5.	0.02/6
Escenario 1: BPMN	5.00	0.02
Escenario 2: BPMN	5.00	0.02
Escenario 3: SAP	5.00	0.02
Escenario 4: Power BI	5.00	0.02
Proyecto - P1 Grupal	4.87	0.09
Proyecto - P0 Ejercicio comparación CO 	5.00	0.03
Proyecto - P1 Individual - Plan de texto	4.65	0.03
Proyecto - P1 Individual - Versión inicial	4.68	0.05
Proyecto - P1 Individual - Versión final	5.00	0.10
Proyecto - P2 Grupal	4.85	0.09
Proyecto - P2 Individual - Bibliografía comentada	4.46	0.05
Proyecto - P2 Individual - Versión final	5.00	0.12
EXTRA	0.5 puntos en el peor parcial (Parcial 1, 10%) por ser el estudiante con más puntos extra (21)	0.05
		
		
LENG 1302, 02: Alemán 2
3
Natalia Rincón Barrero
Quiz 1	5.00	0.01
Quiz 2	5.00	0.01
Quiz 3	5.00	0.01
Quiz 4	5.00	0.01
Quiz 5	5.00	0.01
Proyecto 1 Entrega 1	5.00	0.05
Proyecto 1: Infomercial	5.00	0.05
Proyecto 2: Karaoke	5.00	0.05
Plataforma corte 1	5.00	0.05
Plataforma corte 2	4.80	0.05
Plataforma corte 3	5.00	0.05
Participación y asistencia 1	5.00	0.05
Participación y asistencia 2	5.00	0.05
Frankenstein 1	5.00	0.03
Frankenstein 2	5.00	0.03
Übungsbuch (Bono nota tests)	No lo completé	0.00
Bloque Neón (V) (Bono nota de trabajo en plataforma)	5 insignias	0.00
Oraciones de las camisetas o los fondos (Bono nota cartilla)	No lo completé	0.00
Quizlet (Bono nota participación)	No lo completé	0.00
Examen parcial 1	4.80	0.15
Examen parcial 2	5.00	0.15
Examen parcial 3	4.60	0.20
		
		
MATE 1207, 20: Cálculo Vectorial
3
Mauricio Velasco Gregory
Complementaria MATE 1207, 20: Cálculo Vectorial	5	0.25
Parcial 1: Derivación	4.67	0.00
Parcial 2: Integración	5.00	0.25
Justificación del parcial 2: Bono de 1 punto en el parcial 1 (porque saqué 5 en el 2)	Bono Completo	
Parcial 1 con bono	5.00	0.25
Examen Final	5.00	0.25

